peakid,pkgroup,pkname,heightm,heightf,lat,long
ANN1,Annapurna,Annapurna I,8091,26545,28.596111,83.820278
ANNE,Annapurna,Annapurna I - East Smt,8026,26332,28.596111,83.820278
ANNM,Annapurna,Annapurna I - Middle Smt,8051,26414,28.596111,83.820278
CHOY,Cho Oyu,Cho Oyu,8188,26864,28.0972891,86.658475
DHA1,Dhaulagiri I,Dhaulagiri I,8167,26795,28.6984652,83.4873496
EVER,Everest,Everest,8850,29035,27.9881206,86.9249751
KANC,Kangchenjunga,Kangchenjunga Central,8473,27799,27.7024914,88.147535
KANG,Kangchenjunga,Kangchenjunga,8586,28169,27.7024914,88.147535
KANS,Kangchenjunga,Kangchenjunga South,8476,27808,27.7024914,88.147535
LHOM,Lhotse,Lhotse Middle,8410,27592,27.9626373,86.933615
LHOT,Lhotse,Lhotse,8516,27940,27.9626373,86.933615
LSHR,Lhotse,Lhotse Shar,8382,27500,27.95,86.95
MAKA,Makalu,Makalu,8485,27838,27.8860217,87.0911891
MANA,Manaslu,Manaslu,8163,26781,28.5497107,84.5596768
YALU,Yalung Kang,Yalung Kang,8505,27904,27.7052,88.1367
YALW,Yalung Kang,Yalung Kang West,8077,26499,27.7052,88.1367
